ID,NAME
4707,ISLAMIC JIHAD OF PALESTINE
4707,ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS
4707,PIJ-SHALLAH FACTION
4707,PALESTINIAN ISLAMIC JIHAD
4707,AL-QUDS SQUADS
4707,SAYARA AL-QUDS
4707,AL-QUDS BRIGADES
4707,AL-AWDAH BRIGADES
4708,PALESTINE LIBERATION FRONT
4708,PLF
4708,PLF-ABU ABBAS
4709,PFLP
4709,RED EAGLES
4709,RED EAGLE GROUP
4709,RED EAGLE GANG
4709,HALHUL GANG
4709,HALHUL SQUAD
4709,PALESTINIAN POPULAR RESISTANCE FORCES
4709,PPRF
4709,MARTYR ABU-ALI MUSTAFA BATTALION
4710,PFLP-GC
4713,DEVRIMCI HALK KURTULUS PARTISI-CEPHESI
4713,DHKP/C
4713,DEVRIMCI SOL
4713,REVOLUTIONARY LEFT
4713,DEV SOL
4713,DEV SOL SILAHLI DEVRIMCI BIRLIKLERI
4713,DEV SOL SDB
4713,DEV SOL ARMED REVOLUTIONARY UNITS
4714,EPANASTATIKOS LAIKOS AGONAS
4714,REVOLUTIONARY POPULAR STRUGGLE
4714,POPULAR REVOLUTIONARY STRUGGLE
4714,ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY
4714,REVOLUTIONARY NUCLEI
4714,REVOLUTIONARY CELLS
4714,LIBERATION STRUGGLE
4715,SENDERO LUMINOSO
4715,PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI)
4715,PARTIDO COMUNISTA DEL PERU (COMMUNIST PARTY OF PERU)
4715,SOCORRO POPULAR DEL PERU
4715,SPP
4715,EJERCITO GUERRILLERO POPULAR
4715,EGP
4715,EJERCITO POPULAR DE LIBERACION
4715,COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI
4715,COMMUNIST PARTY OF PERU
4715,PEOPLE'S AID OF PERU
4715,PEOPLE'S GUERRILLA ARMY
4715,PEOPLE'S LIBERATION ARMY
4717,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE
4717,DFLP
4717,RED STAR FORCES
4717,RED STAR BATTALIONS
6365,"BIN LADIN, Usama"
6365,"BIN LADEN, Usama"
6365,"BIN LADEN, Osama"
6365,"BIN LADIN, Osama"
6365,"BIN LADIN, Osama bin Muhammad bin Awad"
6366,ISLAMIC SALVATION FOUNDATION
6366,THE GROUP FOR THE PRESERVATION OF THE HOLY SITES
6366,THE ISLAMIC ARMY FOR THE LIBERATION OF THE HOLY PLACES
6366,THE WORLD ISLAMIC FRONT FOR JIHAD AGAINST JEWS AND CRUSADERS
6366,AL QAEDA
6366,THE BASE
6366,USAMA BIN LADEN NETWORK
6366,USAMA BIN LADEN ORGANIZATION
6366,AL QAIDA
6366,INTERNATIONAL FRONT FOR FIGHTING JEWS AND CRUSADES
6366,ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES
6366,AL-JIHAD
6366,EGYPTIAN AL-JIHAD
6366,EGYPTIAN ISLAMIC JIHAD
6366,NEW JIHAD
6366,THE JIHAD GROUP
6366,ISLAMIC ARMY
6367,"ABDULLAH, Sheikh Taysir"
6367,"ATEF, Muhammad"
6367,"EL KHABIR, Abu Hafs el Masry"
6367,"ATIF, Muhammad"
6367,"ABU SITTA, Subhi"
6367,"ATIF, Mohamed"
6368,"ABD-AL-WAHAB, Abd-al-Hai Ahmad"
6368,"'ABD ALLAH, 'Issam 'Ali Muhammad"
6368,"AL-KAMEL, Salah 'Ali"
6368,"TAHA MUSA, Rifa'i Ahmad"
6368,THABIT 'IZ
6531,COLCERDOS LTDA.
6539,D'ELCON S.A.
6636,ISLAMIC MOVEMENT OF TALIBAN
6636,TAHRIKE ISLAMI'A TALIBAN
6636,TALEBAN
6636,TALIBAN ISLAMIC MOVEMENT
6636,TALIBANO ISLAMI TAHRIK
6663,COMECARNES LTDA.
6680,DIAGNOSTICENTRO LA GARANTIA
6703,"AMESCUA, Chuey"
6703,"AMEZCUA, Chuy"
6703,"AMEZCUA CONTRERAS, Jesus"
6703,"AMEZCUA, Jose de Jesus"
6703,"HERNANDEZ, Adan"
6704,"AMEZCUA, Luis"
6704,"CONTRERAS, Luis C."
6704,"LOPEZ, Luis"
6704,"LOZANO, Eduardo"
6704,"OCHOA, Salvador"
6704,"RODRIGUEZ LOPEZ, Sergio"
6706,"COMACHO RODRIGUES, Gilberto"
6706,"TORRES MENDEZ, Ramon"
6707,"CARO QUINTERO, Raphael"
6708,"CARRILLO FUENTES, Andres"
6709,KHUN SA
6709,"CHAN, Changtrakul"
6709,"CHANG, Shi-Fu"
6709,"CHANG, Xifu"
6709,"CHANGTRAKUL, Chan"
6710,"ZAMBA, Noel Heath"
6710,"ZAMBO, Noel Heath"
6712,"ADEMULERO, Babestan Oluwole"
6712,"BABESTAN, Wole A."
6712,"OGUNGBUYI, Wally"
6712,"OGUNGBUYI, Wole A."
6712,"SHOFESO, Olatude I."
6712,"SHOFESO, Olatunde Irewole"
6713,"BABESTAN, Abeni O."
6713,"SHOFESO, Olatutu Temitope"
6714,"CHARNCHAI, Chiwinnitipanya"
6714,"CHIVINNITIPANYA, Prasit"
6714,"CHIWINNITIPANYA, Charnchai"
6714,"PRASIT, Chivinnitipanya"
6714,"PRASIT, Cheewinnittipanya"
6714,"WEI, Shao-Kang"
6714,"WEI, Sia-Kang"
6714,"WEI, Xuekang"
6714,"CHEEWINNITTIPANYA, Prasit"
6722,M.T.T. LTDA.
6823,"PATINO FOMEQUE, Victor Hugo"
6824,INPESCA S.A.
6832,"ECHEVERRI HERRERA, Hernando"
6853,REAL IRISH REPUBLICAN ARMY
6853,32 COUNTY SOVEREIGNTY COMMITTEE
6853,32 COUNTY SOVEREIGNTY MOVEMENT
6853,REAL OGLAIGH NA HEIREANN
6853,IRISH REPUBLICAN PRISONERS WELFARE ASSOCIATION
6853,IRA ARMY COUNCIL
6856,"AFGHAN, Shir"
6856,"KHAN, Abdullah"
6856,"AZIZ, Mohammad"
6856,"AFGHAN, Shear"
6857,"CARDENAS GULLEN, Osiel"
6857,"CARDENAS CASTILLO, Osiel"
6857,"CARDENAS GILLEN, Osiel"
6857,"CARDENAS GUILLEN, Ociel"
6857,"CARDENAS GUILLEN, Oscar"
6857,"CARDENAS GUILLEN, Oziel"
6857,"CARDENAS TUILLEN, Osiel"
6857,"SALINA AGUILAR, Jorge"
6857,"SALINAS AGUILAR, Jorge"
6859,"KHUN, Saeng"
6860,"GILBOA, Yosef"
6860,"GILBOA, Joseph Papzian"
6860,"GILBERT, Joseph"
6860,"GIL, Josef"
6861,"AREGON, Max"
6861,"GUZMAN, Chapo"
6861,"GUIERREZ LOERA, Jose Luis"
6861,"GUZMAN FERNANDEZ, Joaquin"
6861,"GUZMAN LOESA, Joaquin"
6861,"GUZMAN PADILLA, Joaquin"
6861,"GUMAN LOERAL, Joaquin"
6861,"GUZMAN, Archibaldo"
6861,"GUZMAN, Aureliano"
6861,"ORTEGA, Miguel"
6861,"RAMIREZ, Joise Luis"
6861,"CARO RODRIGUEZ, Gilberto"
6861,"GUZMAN, Joaquin Chapo"
6861,"GUZMAN LOREA, Chapo"
6861,"GUZMAN LOEIA, Joaguin"
6861,"GUZMAN, Achivaldo"
6861,"OSUNA, Gilberto"
6861,"RAMOX PEREZ, Jorge"
6862,"HAMIAH, Jamiel"
6862,"HAMEIAH, Jamel"
6862,"HAMEIAH, Mamil"
6862,"HAMEIH, Jamill"
6862,"HAMIAEH, Jamil"
6862,"HAMIE, Jamil Abdulkarim"
6862,"HAMIEAH, Jamiel"
6862,"HAMEIAH, Jamil"
6862,"HAMEIEH, Jamil"
6862,"HAMER, Jamil"
6862,"HAMIE, Jamil"
6862,"HAMIE, Jamile"
6862,"HAMIEAH, Jamil"
6862,"HAMIEH, Jamal"
6862,"HAMIEH, Jamil"
6862,"HAMIEL, Jamil"
6862,"HAMIEYYEH, Jamil"
6862,"HAMIYA, Abdul Jamil"
6862,"HAMIYYAH, Jamil"
6862,"HAMYH, Jamil"
6862,"KARIM, Jamil Abdul"
6862,"NEZAM, Abu"
6862,"HAMIEH, Mamil"
6862,"HAMIEYE, Jamil"
6862,"HAMIL, Jamil"
6862,"HAMIYE, Jamil"
6862,"HAMIYYEH, Jamil"
6862,"NAZIM, Abou"
6862,"NIZAM, Abou"
6864,"KHAN, Ali"
6864,"KHAN, Nafir Ali"
6864,"KHAN, Nazir Ali"
6864,"KHAN, Nisan Ali"
6864,"KHAN, Nisar Ali"
6864,"NASIR, Ali Khan"
6864,"NASIR, Khan Ali"
6865,"BECERRA, Martin"
6865,"BECERRA MIRELES, Martin"
6865,"MACHERBE, Oscar"
6865,"MAHLERBE, Oscar"
6865,"MALARBE, Oscar"
6865,"MALERHBE DE LEON, Oscar"
6865,"MALHARBE DE LEON, Oscar"
6865,"MALHERBE DELEON, Oscar"
6865,"MALMERBE, Oscar"
6865,"MELARBE, Oscar"
6865,"QALHARBE DE LEON, Oscar"
6865,"MAHERBE, Oscar"
6865,"MAHLERBE, Polo"
6865,"MALERBE, Oscar"
6865,"MALERVA, Oscar"
6865,"NALHERBE, Oscar"
6865,"VARGAS, Jorge"
6866,"ALCIDES MAGANA, Ramon"
6866,"ALCIDEZ MAGANA, Ramon"
6866,"ALCIDES MAYENA, Ramon"
6866,"MAGNA ALCIDEDES, Ramon"
6866,"ALCIDES MAGANE, Ramon"
6866,"ROMERO, Antonio"
6866,"GONZALEZ QUIONES, Jorge"
6866,"MAGANA, Jorge"
6866,"MAGANA ALCIDES, Ramon"
6866,"MATA, Alcides"
6866,"RAMON MAGANA, Alcedis"
6895,AUTODEFENSAS UNIDAS DE COLOMBIA
6895,AUC
6897,GSPC
6897,LE GROUPE SALAFISTE POUR LA PREDICATION ET LE COMBAT
6897,SALAFIST GROUP FOR PREACHING AND COMBAT
6897,AL-QA'IDA IN THE ISLAMIC MAGHREB
6897,AQIM
6897,TANZIM AL-QA'IDA FI BILAD AL-MAGHRIB AL-ISLAMIYA
6899,AIAI
6901,"AL-'ADIL, Saif"
6903,"AL-SHANQITI, Khalid"
6903,"AL-WALID, Mafouz Walad"
6905,"HUSAIN, Zain Al-Abidin Muhammad"
6905,"HUSSEIN, Zayn al-Abidin Muhammad"
6905,"ABU ZUBEIDAH, Zeinulabideen Muhammed Husein"
6906,"AL-IRAQI, Abdal al-Hadi"
6907,"ABDALLAH, Tarwat Salah"
6907,"THIRWAT, Shahata"
6907,"THIRWAT, Salah Shihata"
6908,"FATHI, Amr Al-Fatih"
6908,"FARAG, Hamdi Ahmad"
6911,AL WAFA
6911,AL WAFA ORGANIZATION
6911,WAFA AL-IGATHA AL-ISLAMIA
6912,AL RASHEED TRUST
6912,AL-RASHID TRUST
6912,AL-RASHEED TRUST
6912,AL AMIN WELFARE TRUST
6912,AL AMIN TRUST
6912,AL AMEEN TRUST
6912,AL-AMEEN TRUST
6912,AL MADINA TRUST
6912,AL-MADINA TRUST
6912,MAYMAR TRUST
6912,MAIMAR TRUST
6912,MOMAR TRUST
6912,MEYMAR TRUST
6913,DARKAZANLI COMPANY
6913,DARKAZANLI EXPORT-IMPORT SONDERPOSTEN
6915,"AL-MASRI, Abu Mohamed"
6916,"ABDUREHMAN, Ahmed Mohammed"
6916,"AHMED, Ahmed"
6916,"ALI, Hamed"
6916,"ALI, Ahmed Mohammed"
6916,"AL-MASRI, Ahmad"
6916,"AL-SURIR, Abu Islam"
6916,"HEMED, Ahmed"
6916,"SHIEB, Ahmed"
6918,"AL-MUGHASSIL, Ahmed Ibrahim"
6921,"BOUSLIM, Ammar Mansour"
6921,"SALIM, Hassan Rostom"
6923,"AL-HOURI, Ali Saed Bin Ali"
6923,"EL-HOURI, Ali Saed Bin Ali"
6924,"ELBISHY, Moustafa Ali"
6924,"MOHAMMED, Mustafa"
6924,"FAZUL, Mustafa"
6924,"FADIL, Mustafa Muhamad"
6924,"AL MASRI, Abd Al Wakil"
6924,"ALI, Hassan"
6924,"MAN, Nu"
6924,"JIHAD, Abu"
6924,"AL-NUBI, Abu"
6925,"GHILANI, Ahmad Khalafan"
6925,"AHMED, Ahmed Khalfan"
6925,"AHMED, Abubakar K."
6925,"AHMED, Abubakary K."
6925,"AHMED, Abubakar"
6925,"AHMAD, Abu Bakr"
6925,"KHALFAN, Ahmed"
6925,"ALI, Ahmed Khalfan"
6925,"AHMED, Abubakar Khalfan"
6925,"GHAILANI, Ahmed"
6925,"AL TANZANI, Ahmad"
6925,"GHAILANI, Abubakary Khalfan Ahmed"
6925,"HUSSEIN, Mahafudh Abubakar Ahmed Abdallah"
6925,"MOHAMMED, Shariff Omar"
6926,"SALWWAN, Samir"
6927,"FAZUL, Abdallah"
